GMC,gem_name,YEAR,AGE_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN
GM0626,Voorschoten,2017,42.8369324846586,37402.3722051039,0.0915495668912416,0.935218324982105,4.15322122486081,2429.73738489801,177.544723286172,111.478227155476,1317.92863675448,275.007476745094,148.754719768624
GM0626,Voorschoten,2018,43.034338329058,37192.1635839064,0.0877017678708686,0.931131544379809,4.17162070524412,2453.03610178751,186.065806728592,117.293994223714,1306.8952248068,281.284971899149,162.6323893529
GM0626,Voorschoten,2019,43.1124209582272,40060.0544376359,0.0838989225046973,0.963354889280815,4.17722241241584,2518.06548279906,196.230808053167,124.547817044564,1337.5714292416,286.606405003909,182.018985926505
GM0626,Voorschoten,2020,43.2798516842256,41118.3767050592,0.0865723029839327,0.959410300593529,4.04196550293403,2378.97124848771,196.521262537563,126.651681301954,1228.88028372946,290.71323108145,172.916878195372
GM0626,Voorschoten,2021,43.3719321010092,43016.1554271791,0.0797585851254823,0.961977976314149,4.04563829163981,2507.39166575618,214.393410722647,135.966243561727,1394.11992274076,279.961334868115,133.098898470423
GM0626,Voorschoten,2022,43.5645526807552,44555.6149363777,0.0824958123953099,0.935849056603774,4.10844827586207,2549.25814958927,220.641872027667,142.518922689934,1522.27403057816,300.266560940139,
GM0626,Voorschoten,2023,43.9255631714963,47623.9288460776,0.0788348476750401,0.896612492657137,3.95244416229007,,,,,,
GM0626,Voorschoten,2024,44.2457449758695,,0.0927206024329021,0.500463463618106,,,,,,,
GM0629,Wassenaar,2009,43.4560786335341,,0.111266671579102,0.617908616988654,4.06959019109687,2055.61803976364,135.155571354396,84.4303630626681,1163.29339297839,325.684432240286,190.032987464069
GM0629,Wassenaar,2010,43.6377332525727,,0.115558995908437,0.741505042668735,4.15585280568352,2151.69698554525,132.717544469761,71.4433241395849,1216.321713235,334.219978814407,204.447020887936
GM0629,Wassenaar,2011,43.8312053460807,46237.0782300885,0.108897693190654,0.786834342493402,4.23061896522855,2216.24744521794,138.112019698588,73.1797108500457,1267.43313674301,330.528428859618,193.200265801756
GM0629,Wassenaar,2012,44.0776584711014,47943.254274441,0.10379689957313,0.796139735204977,4.23276106294974,2223.95219466858,125.066971727666,64.4061382291112,1395.94259050716,276.075823783655,162.688269261193
GM0629,Wassenaar,2013,44.2013164124531,45730.349944143,0.103599714725423,0.816192909613542,4.20755803905755,2294.04236655439,125.368578411891,63.8208377712423,1445.72339281456,256.270647802243,180.104494947494
GM0629,Wassenaar,2014,44.3807834015567,52013.6687279502,0.115747324302073,0.870582905466626,4.21815757435214,2338.58196729083,141.666218986189,77.8456135491275,1455.8653753314,261.442553519845,170.25663308841
GM0629,Wassenaar,2015,44.2903500702781,48948.4103244721,0.115953916707058,0.892988929889299,4.21969873890705,2420.13373628109,143.708701267925,79.0453568748263,1354.9182746771,265.654281312952,147.524154757205
